ID,Stagione,Campionato,Girone,Giornata,Avversario,SiglaAvversario,Casa,Luogo,Data,Descrizione,CodiceFIP,NumeroTempi,MinutiPerTempo,MinutiSupplementare,Allenatore,Vice,Arbitro1,Arbitro2,Tempo,Secondi,T1ok,T1err,T2ok,T2err,T3ok,T3err,ROff,RDif,PRec,PPer,Ass,SDat,SSub,FCom,FTec,FSub,Espu,Info,Entr,Usci,Punti,Minuti,ValutazioneLega,ValutazioneOER,ValutazioneVIR,AvversarioPunti,AvversarioFalli,Giocatore1,Giocatore2,Giocatore3,Giocatore4,Giocatore5,SquadraPunti1,SquadraPunti2,SquadraPunti3,SquadraPunti4,SquadraPunti5,SquadraPunti6,SquadraPunti7,SquadraPunti8,SquadraPunti9,SquadraPunti10,AvversarioPunti1,AvversarioPunti2,AvversarioPunti3,AvversarioPunti4,AvversarioPunti5,AvversarioPunti6,AvversarioPunti7,AvversarioPunti8,AvversarioPunti9,AvversarioPunti10,SquadraFalli1,SquadraFalli2,SquadraFalli3,SquadraFalli4,SquadraFalli5,SquadraFalli6,SquadraFalli7,SquadraFalli8,SquadraFalli9,SquadraFalli10,AvversarioFalli1,AvversarioFalli2,AvversarioFalli3,AvversarioFalli4,AvversarioFalli5,AvversarioFalli6,AvversarioFalli7,AvversarioFalli8,AvversarioFalli9,AvversarioFalli10,AvversariAllenatore
1,2024/2025,Serie C - Girone M,Andata,1.a,PORTO S.ELPIDIO,PSE,FALSE,PALASPORT - Via Ungheria - Porto Sant'Elpidio (FM),06/10/2024,,,4,10,5,Francesco Donati,Matteo Violini,DI LELLO ALESSANDRO di CHIARAVALLE (AN),CROSTA MATTEO di RECANATI (MC),5,0,13,7,21,18,9,15,7,15,14,5,12,0,0,21,0,17,0,0,0,0,82,200,81,1.051282051,0.51625,71,17,12,2,5,14,16,26,21,15,20,0,0,0,0,0,0,14,13,20,24,0,0,0,0,0,0,5,4,5,7,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,Di Salvatore
2,2024/2025,Serie C - Girone M,Andata,2.a,PISAURUM PESARO,PIS,TRUE,"Urbania, Palazzetto dello Sport",13/10/2024,,,4,10,5,Francesco Donati,Matteo Violini,CASAVECCHIA MARCO di CESENA (FC),AVALTRONI LUCA di FANO (PU),5,0,11,7,17,16,5,21,8,29,10,15,8,1,2,18,1,18,0,0,0,0,60,200,55,0.722891566,0.35375,58,18,34,8,5,12,9,10,23,10,17,0,0,0,0,0,0,20,12,18,8,0,0,0,0,0,0,6,4,3,5,0,0,0,0,0,0,4,6,5,3,0,0,0,0,0,0,Contigiani
3,2024/2025,Serie C - Girone M,Andata,3.a,SUTOR MONTEGRANARO,MON,FALSE,PALASPORT - Via M. D' Ungheria - MONTEGRANARO (FM),20/10/2024,,,4,10,5,Francesco Donati,Matteo Violini,VIRGILI FRANCESCO di PORTO SANT'ELPIDIO (FM),RUTILI GIULIA di PORTO SAN GIORGIO (FM),5,0,15,8,19,19,6,17,11,22,17,15,3,0,4,17,0,24,0,0,0,0,71,200,68,0.811428571,0.41625,70,24,12,2,8,5,34,9,26,19,17,0,0,0,0,0,0,29,7,22,12,0,0,0,0,0,0,3,3,6,5,0,0,0,0,0,0,6,8,4,6,0,0,0,0,0,0,Cervellini
4,2024/2025,Serie C - Girone M,Andata,4.a,GIOVANE ROBUR OSIMO,OSI,FALSE,PALAZZETTO DELLO SPORT - Piazza Bellini - OSIMO (AN),27/10/2024,,,4,10,5,Francesco Donati,Matteo Violini,LISOTTA MARCO di PESARO (PU),NERI LEONARDO di CESENA (FC),5,0,12,5,25,18,7,16,10,25,13,14,7,1,0,20,2,20,0,1,0,0,83,200,86,0.937853107,0.5,74,20,14,2,5,12,9,22,12,25,24,0,0,0,0,0,0,11,28,24,11,0,0,0,0,0,0,4,9,3,4,0,0,0,0,0,0,7,3,5,5,0,0,0,0,0,0,Polverigiani
5,2024/2025,Serie C - Girone M,Andata,5.a,BARTOLI FOSSOMBRONE,FOS,TRUE,"Urbania, Palazzetto dello Sport",03/11/2024,,,4,10,5,Francesco Donati,Matteo Violini,LIMONE GREGORY di PESARO (PU),ROMANELLA DANIELE di VALLEFOGLIA (PU),5,0,21,9,13,15,5,17,9,10,14,18,9,5,4,23,2,24,0,0,0,0,62,200,47,0.746987952,0.3425,82,24,13,21,8,1,9,25,16,10,11,0,0,0,0,0,0,24,20,19,19,0,0,0,0,0,0,3,6,8,6,0,0,0,0,0,0,6,6,7,5,0,0,0,0,0,0,Paolini
6,2024/2025,Serie C - Girone M,Andata,6.a,TAURUS JESI,JES,TRUE,"Urbania, Palazzetto dello Sport",10/11/2024,,,4,10,5,Francesco Donati,Matteo Violini,DE CAROLIS ALESSANDRO di FERMO (FM),ONOFRI FILIPPO di SANTA SOFIA (FC),5,0,9,4,16,17,12,21,6,29,12,4,16,2,1,20,1,16,0,0,0,0,77,200,91,1.006535948,0.56625,54,16,21,1,13,16,9,16,20,23,18,0,0,0,0,0,0,14,9,19,12,0,0,0,0,0,0,4,5,7,4,0,0,0,0,0,0,4,4,3,5,0,0,0,0,0,0,Surico
7,2024/2025,Serie C - Girone M,Andata,7.a,GUELFO BASKET,GUE,FALSE,PALAMARCHETTI - V.le 2 Giugno 16 - CASTEL GUELFO (BO),16/11/2024,,,4,10,5,Francesco Donati,Matteo Violini,ZANETTI SILVIA di RIMINI (RN),GIORGI FRANCESCO di VALLEFOGLIA (PU),5,0,18,7,13,13,9,17,1,17,18,17,7,1,2,22,1,24,0,0,0,0,71,200,61,0.871165644,0.38375,69,24,8,2,14,16,9,21,24,12,14,0,0,0,0,0,0,10,21,22,16,0,0,0,0,0,0,4,3,5,10,0,0,0,0,0,0,7,5,6,6,0,0,0,0,0,0,Agresti
8,2024/2025,Serie C - Girone M,Andata,8.a,TITANO SAN MARINO,SMA,TRUE,"Urbania, Palazzetto dello Sport",24/11/2024,,,4,10,5,Francesco Donati,Matteo Violini,BELTRAMI FRANCESCO di FABRIANO (AN),RIGHI ANDREA di PESARO (PU),5,0,8,8,14,20,9,21,8,28,19,8,8,2,0,18,2,12,0,0,0,0,63,200,65,0.7875,0.42625,48,12,1,4,12,34,16,22,14,8,19,0,0,0,0,0,0,17,11,8,12,0,0,0,0,0,0,4,6,4,4,0,0,0,0,0,0,4,3,2,3,0,0,0,0,0,0,Valentini
9,2024/2025,Serie C - Girone M,Andata,9.a,FALCONARA BASKET,FAL,FALSE,Palasport Badiali - Via Stadio snc - FALCONARA MARITT. (AN),01/12/2024,,,4,10,5,Francesco Donati,Matteo Violini,,,5,0,12,4,21,18,7,14,8,26,12,11,10,4,3,18,1,15,0,0,0,0,75,200,82,0.949367089,0.4975,67,15,12,2,4,14,16,23,19,15,18,0,0,0,0,0,0,13,13,27,14,0,0,0,0,0,0,3,5,4,6,0,0,0,0,0,0,3,4,5,3,0,0,0,0,0,0,Reggiani
10,2024/2025,Serie C - Girone M,Andata,10.a,REAL BASKET PESARO,REA,TRUE,"Urbania, Palazzetto dello Sport",08/12/2024,,,4,10,5,Francesco Donati,Matteo Violini,ZAMBELLI LUCA di CESENA (FC),CROSTA MATTEO di RECANATI (MC),5,0,20,11,17,13,6,15,8,23,6,15,8,0,0,17,0,26,0,0,0,0,72,200,72,0.883435583,0.41625,70,26,4,8,5,14,12,12,26,24,10,0,0,0,0,0,0,18,15,19,18,0,0,0,0,0,0,5,5,5,2,0,0,0,0,0,0,6,7,7,6,0,0,0,0,0,0,Luminati
11,2024/2025,Serie C - Girone M,Andata,11.a,STAMURA ANCONA,ANC,FALSE,PALAROSSINI - Str.prov.cameranense - ANCONA,14/12/2024,,,4,10,5,Francesco Donati,Matteo Violini,DE CAROLIS ALESSANDRO di FERMO (FM),RUTILI GIULIA di PORTO SAN GIORGIO (FM),5,0,19,8,22,11,4,12,4,22,13,9,9,4,0,18,3,20,0,0,0,0,75,200,89,1.048951049,0.49375,61,20,8,5,14,1,9,24,22,18,11,0,0,0,0,0,0,13,16,15,17,0,0,0,0,0,0,2,6,3,7,0,0,0,0,0,0,5,4,4,7,0,0,0,0,0,0,De Florio
12,2024/2025,Serie C - Girone M,Andata,12.a,BASKERS FORLIMPOPOLI,FOR,TRUE,"Urbania, Palazzetto dello Sport",22/12/2024,,,4,10,5,Francesco Donati,Matteo Violini,BELTRAMI FRANCESCO di FABRIANO (AN),GIORGI FRANCESCO di VALLEFOGLIA (PU),5,0,15,4,15,20,7,13,7,22,14,8,6,1,0,22,2,19,0,0,0,0,66,200,68,0.910344828,0.41125,72,19,34,2,8,5,14,19,14,11,22,0,0,0,0,0,0,17,16,19,20,0,0,0,0,0,0,6,3,5,8,0,0,0,0,0,0,4,6,3,6,0,0,0,0,0,0,Tumidei
13,2024/2025,Serie C - Girone M,Andata,13.a,DULCA SANTARCANGELO,SAN,FALSE,PALA SGR - Via Della Resistenza 5 -Santarcangelo di Romagna,11/01/2025,,,4,10,5,Francesco Donati,Matteo Violini,LIMONE GREGORY di PESARO (PU),BARCHETTA NICOLA DI MONTE URANO (FM),5,0,15,10,12,20,6,19,10,23,18,14,5,2,0,21,0,25,0,0,0,0,57,200,56,0.682634731,0.352886123,66,25,34,2,21,14,9,10,16,13,18,0,0,0,0,0,0,21,12,14,19,0,0,0,0,0,0,4,3,4,10,0,0,0,0,0,0,4,7,6,8,0,0,0,0,0,0,Serra
14,2024/2025,Serie C - Girone M,Ritorno,1.a,PORTO S.ELPIDIO,PSE,TRUE,"Urbania, Palazzetto dello Sport",19/01/2025,,,4,10,5,Francesco Donati,Matteo Violini,,,5,0,7,3,14,14,7,27,8,18,19,12,7,3,2,18,0,14,0,0,0,0,56,200,49,0.708860759,0.342642768,74,14,34,21,8,14,9,9,15,13,19,0,0,0,0,0,0,14,19,19,22,0,0,0,0,0,0,4,4,5,5,0,0,0,0,0,0,3,1,4,6,0,0,0,0,0,0,Di Salvatore
15,2024/2025,Serie C - Girone M,Ritorno,2.a,PISAURUM PESARO,PIS,FALSE,Palestra Baia Flaminia - Via Londra - PESARO,25/01/2025,,,4,10,5,Francesco Donati,Matteo Violini,,,5,0,7,3,16,22,9,17,6,19,7,10,6,0,1,17,0,16,0,0,0,0,66,200,50,0.835443038,0.336591317,75,16,2,21,8,14,9,13,16,21,16,0,0,0,0,0,0,18,27,20,10,0,0,0,0,0,0,6,3,4,4,0,0,0,0,0,0,3,6,2,5,0,0,0,0,0,0,Contigiani
16,2024/2025,Serie C - Girone M,Ritorno,3.a,SUTOR MONTEGRANARO,MON,TRUE,"Urbania, Palazzetto dello Sport",02/02/2025,,,4,10,5,Francesco Donati,Matteo Violini,LISOTTA MARCO di PESARO (PU),SISI MATTIA di PORTO SAN GIORGIO (FM),5,0,13,2,20,18,7,17,9,19,15,8,11,5,0,20,1,15,0,0,0,0,74,200,83,0.95483871,0.5025,64,15,2,21,14,9,36,16,18,27,13,0,0,0,0,0,0,16,15,12,21,0,0,0,0,0,0,4,5,4,7,0,0,0,0,0,0,3,4,6,2,0,0,0,0,0,0,Cervellini
